dataset,algorithm,k,g,p,Run_Time,KG_Time,Main_Time,Ng_Time,N^g_Count,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
Aminer,naive,7,3,0.4,1057.2587,1039.4126,17.0199,6.1308,124775.0,118040.0,17120546.0,106586.0,305767.0
Aminer,naive,7,3,0.6,1060.342,1040.5014,19.025,7.127,187388.0,118040.0,17120546.0,81671.0,95294.0
Aminer,naive,7,3,0.8,1061.8825,1043.0829,17.9814,5.1923,245143.0,118040.0,17120546.0,36173.0,22406.0
Aminer,naive,7,3,1.0,1053.3231,1037.9909,14.544,0.9537,236683.0,118040.0,17120546.0,5589.0,3021.0
Aminer,naive,7,4,0.0,1040.563,1036.8043,2.9827,0.0,0.0,55027.0,17120546.0,55027.0,17120546.0
Aminer,naive,7,4,0.2,1054.5404,1042.8139,10.9314,2.459,30692.0,55027.0,17120546.0,54469.0,383601.0
Aminer,naive,7,4,0.4,1055.6671,1041.2384,13.6169,4.0411,59944.0,55027.0,17120546.0,49361.0,138435.0
Aminer,naive,7,4,0.6,1059.4075,1043.3168,15.294,5.0478,96334.0,55027.0,17120546.0,34962.0,40743.0
Aminer,naive,7,4,0.8,1052.8702,1038.1722,13.9162,2.9481,118847.0,55027.0,17120546.0,12402.0,9138.0
Aminer,naive,7,4,1.0,1038.3029,1026.1298,11.4252,0.3722,110569.0,55027.0,17120546.0,1238.0,1029.0
Aminer,naive,7,5,0.0,1036.7609,1032.8412,3.1243,0.0,0.0,33733.0,17120546.0,33733.0,17120546.0
Aminer,naive,7,5,0.2,1108.7543,1097.0319,10.8503,2.056,20131.0,33733.0,17120546.0,33309.0,238856.0
Aminer,naive,7,5,0.4,1049.9361,1036.5619,12.552,3.3231,40253.0,33733.0,17120546.0,29420.0,81160.0
Aminer,naive,7,5,0.6,1105.6832,1090.8113,14.0102,3.8868,63320.0,33733.0,17120546.0,19544.0,22955.0
Aminer,naive,7,5,0.8,1032.1808,1019.9792,11.4716,1.6449,73729.0,33733.0,17120546.0,5170.0,4639.0
Aminer,naive,7,5,1.0,1046.1978,1034.6671,10.7678,0.2191,67618.0,33733.0,17120546.0,512.0,615.0
Aminer,naive,7,6,0.0,1036.3946,1032.5141,3.0893,0.0,0.0,23111.0,17120546.0,23111.0,17120546.0
Aminer,naive,7,6,0.2,1053.8698,1042.8413,10.2255,1.7265,14833.0,23111.0,17120546.0,22735.0,165741.0
Aminer,naive,7,6,0.4,1059.4384,1046.8336,11.773,2.8397,30389.0,23111.0,17120546.0,19619.0,53680.0
